id,source,source_object_id,name,display_name,enabled,account_type,last_seen,raw_json,updated_at
1,AD,ad-001,svc-snow,ServiceNow Service Account,1,ad_user,,"{""sAMAccountName"": ""svc-snow""}",2026-06-11 18:47:00
2,ENTRA,entra-001,svc-snow,ServiceNow App,1,service_principal,,"{""appId"": ""fake-app-id""}",2026-06-11 18:47:00
3,ENTRA,00014ca4-f567-4759-a226-bf94e3b78a33,avdeuwpp-79,avdeuwpp-79,1,ManagedIdentity,,"{""id"": ""00014ca4-f567-4759-a226-bf94e3b78a33"", ""appId"": ""12ac5585-ba45-47b3-8bdd-c5fc2676f746"", ""displayName"": ""avdeuwpp-79"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
4,ENTRA,0007517d-5ef4-47fb-aeb3-c7913efe642a,ShareGate migration tool 2.0,ShareGate migration tool 2.0,1,Application,,"{""id"": ""0007517d-5ef4-47fb-aeb3-c7913efe642a"", ""appId"": ""0f78653b-2b30-47f2-9d09-3c17709f118a"", ""displayName"": ""ShareGate migration tool 2.0"", ""accountEnabled"": true, ""servicePrincipalType"": ""Application"", ""tags"": [""WindowsAzureActiveDirectoryIntegratedApp""]}",2026-06-11 19:29:40
5,ENTRA,002e4a06-f6eb-44e2-9676-3b8abf00c465,D365 Sales Agent - Research (Microsoft Copilot Studio),D365 Sales Agent - Research (Microsoft Copilot Studio),1,Application,,"{""id"": ""002e4a06-f6eb-44e2-9676-3b8abf00c465"", ""appId"": ""85fbacef-aec9-4258-a0b8-4eef91991676"", ""displayName"": ""D365 Sales Agent - Research (Microsoft Copilot Studio)"", ""accountEnabled"": true, ""servicePrincipalType"": ""Application"", ""tags"": [""AgenticApp"", ""AIAgentBuilder"", ""AgentCreatedBy:CopilotStudio"", ""AgenticInstance"", ""power-virtual-agents-b6094655-21a0-9902-266c-f0ce8a0f38d2""]}",2026-06-11 19:29:40
6,ENTRA,00363cc7-c79f-4c41-a14a-8b62792e5c7a,Tutorial Sample App,Tutorial Sample App,1,Application,,"{""id"": ""00363cc7-c79f-4c41-a14a-8b62792e5c7a"", ""appId"": ""6731de76-14a6-49ae-97bc-6eba6914391e"", ""displayName"": ""Tutorial Sample App"", ""accountEnabled"": true, ""servicePrincipalType"": ""Application"", ""tags"": [""WindowsAzureActiveDirectoryIntegratedApp""]}",2026-06-11 19:29:40
7,ENTRA,00404a70-8bc3-4a2f-be5f-792a668f9153,AZEUWP-RMDA01,AZEUWP-RMDA01,1,ManagedIdentity,,"{""id"": ""00404a70-8bc3-4a2f-be5f-792a668f9153"", ""appId"": ""d7d585d3-a4e5-46ea-8f90-7fb8c1185db8"", ""displayName"": ""AZEUWP-RMDA01"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
8,ENTRA,0053c377-1970-4359-8e8f-f663aeb55690,D365 Sales Agent - Summary Synthesizer (Microsoft Copilot Studio),D365 Sales Agent - Summary Synthesizer (Microsoft Copilot Studio),1,Application,,"{""id"": ""0053c377-1970-4359-8e8f-f663aeb55690"", ""appId"": ""d549d6e7-0270-42f7-b521-4ef96b841400"", ""displayName"": ""D365 Sales Agent - Summary Synthesizer (Microsoft Copilot Studio)"", ""accountEnabled"": true, ""servicePrincipalType"": ""Application"", ""tags"": [""AgenticApp"", ""AIAgentBuilder"", ""AgentCreatedBy:CopilotStudio"", ""AgenticInstance"", ""power-virtual-agents-4633f63a-6c01-429a-5512-0cc58be14035""]}",2026-06-11 19:29:40
9,ENTRA,0056e336-1d50-4158-856b-38b38a0e1d83,Workflow,Workflow,1,Legacy,,"{""id"": ""0056e336-1d50-4158-856b-38b38a0e1d83"", ""appId"": ""6ef90d57-a47a-4a32-bd11-70761f61a93f"", ""displayName"": ""Workflow"", ""accountEnabled"": true, ""servicePrincipalType"": ""Legacy"", ""tags"": []}",2026-06-11 19:29:40
10,ENTRA,00618698-948f-4049-ae46-fea07ec65c16,NLNHSRK-AP263,NLNHSRK-AP263,1,ManagedIdentity,,"{""id"": ""00618698-948f-4049-ae46-fea07ec65c16"", ""appId"": ""a4a7b75d-2d20-4a84-b9e3-2dbc37201db0"", ""displayName"": ""NLNHSRK-AP263"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
11,ENTRA,00635372-649a-4f8f-94e1-08595330827e,extensionmanager-aks003-nonprd-emea,extensionmanager-aks003-nonprd-emea,1,ManagedIdentity,,"{""id"": ""00635372-649a-4f8f-94e1-08595330827e"", ""appId"": ""1ea4b043-dd0b-4383-abef-161def96d65d"", ""displayName"": ""extensionmanager-aks003-nonprd-emea"", ""accountEnabled"": true, ""servicePrincipalType"": ""ManagedIdentity"", ""tags"": []}",2026-06-11 19:29:40
12,ENTRA,006a706b-14d7-4753-b898-eba1bac88ca1,Office Store,Office Store,0,Application,,"{""id"": ""006a706b-14d7-4753-b898-eba1bac88ca1"", ""appId"": ""c606301c-f764-4e6b-aa45-7caaaea93c9a"", ""displayName"": ""Office Store"", ""accountEnabled"": false, ""servicePrincipalType"": ""Application"", ""tags"": []}",2026-06-11 19:29:40
